eventname
\core\event\course_viewed
\mod_resource\event\course_module_viewed
\mod_forum\event\course_module_viewed
\mod_forum\event\discussion_viewed
\mod_page\event\course_module_viewed
\mod_chat\event\course_module_viewed
\mod_scorm\event\course_module_viewed
\mod_url\event\course_module_viewed
\mod_folder\event\course_module_viewed
\mod_forum\event\user_report_viewed
\mod_book\event\course_module_viewed
\mod_book\event\chapter_viewed
\gradereport_overview\event\grade_report_viewed
\mod_quiz\event\course_module_viewed
\mod_quiz\event\attempt_viewed
\mod_lesson\event\course_module_viewed
\mod_lesson\event\content_page_viewed
\mod_dialogue\event\course_module_viewed
\mod_dialogue\event\conversation_viewed
\core\event\recent_activity_viewed
\mod_lesson\event\question_viewed
\mod_scheduler\event\booking_form_viewed
\mod_workshop\event\course_module_viewed
\mod_questionnaire\event\course_module_viewed
\mod_glossary\event\course_module_viewed
\mod_collaborate\event\course_module_viewed
\mod_choice\event\course_module_viewed
\mod_data\event\course_module_viewed
\mod_wiki\event\course_module_viewed
\mod_wiki\event\page_viewed
\mod_wiki\event\comments_viewed
\mod_wiki\event\page_history_viewed
\mod_glossary\event\entry_viewed
\mod_wiki\event\page_map_viewed
\mod_assign\event\submission_viewed
\mod_choicegroup\event\course_module_viewed
\core\event\badge_viewed
\mod_collaborate\event\recording_viewed
\core\event\course_user_report_viewed
\gradereport_user\event\grade_report_viewed
\mod_lti\event\course_module_viewed
